stars,total missed,2020-05-26,2020-05-27,2020-05-28,2020-05-30,2020-06-14,2020-06-22,2020-06-27,2020-07-02,2020-07-10,2020-07-14,2020-07-18,2020-08-17,2020-08-18,2020-08-19,2020-08-21,2020-08-31,2020-09-07
M42,44,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Ngc6357,36,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
Rho Ophiuchi Cloud Complex,35,0,1,0,0,0,1,0,0,4,0,0,0,6,0,0,0,0
Baby Boom Galaxy,27,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,0
Aldebaran,27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
M8,24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Smc,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ngc5128,22,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0
M60,22,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
Algol,22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Sgr A*,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lmc,20,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
30 Doradus,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Ngc4555,18,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
M31,18,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Coma Berenices,18,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Ophiuchus,17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Ngc4038,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arcturus,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Altair,16,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Ngc1333,15,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0
Auriga,15,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0
Sagittarius,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dragonfish Nebula,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Corvus,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Capella,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Virgo,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurus,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Scorpius,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Crux,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Castor,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquila,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Deneb,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Antares,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procyon,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M101,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeta Ophiuchi,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vega,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Lyra,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dorado,9,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Andromeda,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ursa Minor,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
T Tauri,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pollux,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ngc6334,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cygnus,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bootes,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rigel,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polaris,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Perseus,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Mizar,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M104,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Centaurus,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursa Major,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Spica,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Sirius,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ngc4676,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Canis Minor,6,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
Tucana,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sextans,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Orion,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betelgeuse,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Alcor,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn-z11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canis Major,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
